area,sigma,seed,richness
225,1,0,6
225,1,1,6
225,1,2,5
225,1,3,6
225,1,4,6
225,1,5,8
225,1,6,7
225,1,7,5
225,1,8,8
225,1,9,4
225,2,0,12
225,2,1,12
225,2,2,10
225,2,3,11
225,2,4,10
225,2,5,11
225,2,6,13
225,2,7,13
225,2,8,12
225,2,9,10
225,4,0,27
225,4,1,27
225,4,2,22
225,4,3,33
225,4,4,23
225,4,5,26
225,4,6,28
225,4,7,31
225,4,8,33
225,4,9,33
225,8,0,65
225,8,1,65
225,8,2,71
225,8,3,74
225,8,4,69
225,8,5,70
225,8,6,68
225,8,7,75
225,8,8,69
225,8,9,71
225,16,0,150
225,16,1,150
225,16,2,140
225,16,3,134
225,16,4,153
225,16,5,129
225,16,6,144
225,16,7,142
225,16,8,135
225,16,9,137
225,32,0,194
225,32,1,194
225,32,2,196
225,32,3,199
225,32,4,198
225,32,5,202
225,32,6,195
225,32,7,193
225,32,8,191
225,32,9,191
484,1,0,10
484,1,1,10
484,1,2,9
484,1,3,11
484,1,4,10
484,1,5,10
484,1,6,8
484,1,7,12
484,1,8,9
484,1,9,9
484,2,0,16
484,2,1,16
484,2,2,15
484,2,3,16
484,2,4,15
484,2,5,15
484,2,6,18
484,2,7,11
484,2,8,16
484,2,9,13
484,4,0,34
484,4,1,34
484,4,2,39
484,4,3,31
484,4,4,35
484,4,5,33
484,4,6,33
484,4,7,40
484,4,8,30
484,4,9,39
484,8,0,91
484,8,1,91
484,8,2,92
484,8,3,94
484,8,4,87
484,8,5,94
484,8,6,89
484,8,7,88
484,8,8,94
484,8,9,93
484,16,0,210
484,16,1,210
484,16,2,223
484,16,3,220
484,16,4,225
484,16,5,220
484,16,6,219
484,16,7,223
484,16,8,205
484,16,9,217
484,32,0,357
484,32,1,357
484,32,2,372
484,32,3,370
484,32,4,368
484,32,5,367
484,32,6,362
484,32,7,349
484,32,8,361
484,32,9,357
961,1,0,11
961,1,1,11
961,1,2,12
961,1,3,7
961,1,4,13
961,1,5,10
961,1,6,14
961,1,7,9
961,1,8,8
961,1,9,11
961,2,0,21
961,2,1,21
961,2,2,18
961,2,3,19
961,2,4,17
961,2,5,17
961,2,6,23
961,2,7,18
961,2,8,17
961,2,9,17
961,4,0,41
961,4,1,41
961,4,2,36
961,4,3,35
961,4,4,49
961,4,5,41
961,4,6,40
961,4,7,39
961,4,8,47
961,4,9,47
961,8,0,116
961,8,1,116
961,8,2,118
961,8,3,110
961,8,4,112
961,8,5,97
961,8,6,105
961,8,7,119
961,8,8,125
961,8,9,126
961,16,0,280
961,16,1,280
961,16,2,293
961,16,3,283
961,16,4,273
961,16,5,292
961,16,6,282
961,16,7,278
961,16,8,277
961,16,9,277
961,32,0,601
961,32,1,601
961,32,2,569
961,32,3,565
961,32,4,594
961,32,5,590
961,32,6,596
961,32,7,582
961,32,8,603
961,32,9,577
24964,1,0,73
24964,1,1,73
24964,1,2,67
24964,1,3,67
24964,1,4,68
24964,1,5,78
24964,1,6,80
24964,1,7,62
24964,1,8,70
24964,1,9,68
24964,2,0,77
24964,2,1,77
24964,2,2,75
24964,2,3,66
24964,2,4,67
24964,2,5,79
24964,2,6,84
24964,2,7,72
24964,2,8,76
24964,2,9,70
24964,4,0,129
24964,4,1,129
24964,4,2,119
24964,4,3,123
24964,4,4,120
24964,4,5,124
24964,4,6,130
24964,4,7,142
24964,4,8,119
24964,4,9,132
24964,8,0,295
24964,8,1,295
24964,8,2,294
24964,8,3,289
24964,8,4,283
24964,8,5,275
24964,8,6,269
24964,8,7,276
24964,8,8,285
24964,8,9,277
24964,16,0,745
24964,16,1,745
24964,16,2,733
24964,16,3,703
24964,16,4,754
24964,16,5,726
24964,16,6,677
24964,16,7,737
24964,16,8,744
24964,16,9,730
24964,32,0,2043
24964,32,1,2043
24964,32,2,2023
24964,32,3,1975
24964,32,4,2018
24964,32,5,2035
24964,32,6,2034
24964,32,7,2031
24964,32,8,1975
24964,32,9,2022
49729,1,0,112
49729,1,1,112
49729,1,2,119
49729,1,3,119
49729,1,4,123
49729,1,5,117
49729,1,6,119
49729,1,7,120
49729,1,8,101
49729,1,9,124
49729,2,0,110
49729,2,1,110
49729,2,2,109
49729,2,3,118
49729,2,4,115
49729,2,5,113
49729,2,6,107
49729,2,7,117
49729,2,8,117
49729,2,9,125
49729,4,0,179
49729,4,1,179
49729,4,2,159
49729,4,3,181
49729,4,4,184
49729,4,5,166
49729,4,6,188
49729,4,7,171
49729,4,8,170
49729,4,9,171
49729,8,0,378
49729,8,1,378
49729,8,2,346
49729,8,3,338
49729,8,4,349
49729,8,5,386
49729,8,6,360
49729,8,7,348
49729,8,8,368
49729,8,9,339
49729,16,0,857
49729,16,1,857
49729,16,2,849
49729,16,3,849
49729,16,4,859
49729,16,5,885
49729,16,6,899
49729,16,7,856
49729,16,8,868
49729,16,9,927
49729,32,0,2427
49729,32,1,2427
49729,32,2,2468
49729,32,3,2419
49729,32,4,2455
49729,32,5,2437
49729,32,6,2447
49729,32,7,2408
49729,32,8,2405
49729,32,9,2485
99856,1,0,209
99856,1,1,209
99856,1,2,218
99856,1,3,193
99856,1,4,196
99856,1,5,186
99856,1,6,199
99856,1,7,203
99856,1,8,229
99856,1,9,213
99856,2,0,184
99856,2,1,184
99856,2,2,199
99856,2,3,216
99856,2,4,170
99856,2,5,180
99856,2,6,189
99856,2,7,186
99856,2,8,182
99856,2,9,170
99856,4,0,252
99856,4,1,252
99856,4,2,259
99856,4,3,220
99856,4,4,245
99856,4,5,254
99856,4,6,266
99856,4,7,236
99856,4,8,253
99856,4,9,276
99856,8,0,500
99856,8,1,500
99856,8,2,466
99856,8,3,456
99856,8,4,490
99856,8,5,496
99856,8,6,502
99856,8,7,484
99856,8,8,482
99856,8,9,483
99856,16,0,1092
99856,16,1,1092
99856,16,2,1110
99856,16,3,1109
99856,16,4,1114
99856,16,5,1094
99856,16,6,1079
99856,16,7,1051
99856,16,8,1080
99856,16,9,1092
99856,32,0,2906
99856,32,1,2906
99856,32,2,2894
99856,32,3,2936
99856,32,4,2864
99856,32,5,2946
99856,32,6,2847
99856,32,7,2890
99856,32,8,2861
99856,32,9,2907
2499561,1,0,3894
2499561,1,1,3894
2499561,1,2,3888
2499561,1,3,3895
2499561,1,4,3897
2499561,1,5,3753
2499561,1,6,3945
2499561,1,7,3794
2499561,1,8,3754
2499561,1,9,3825
2499561,2,0,2993
2499561,2,1,2993
2499561,2,2,2983
2499561,2,3,3043
2499561,2,4,2990
2499561,2,5,2945
2499561,2,6,3027
2499561,2,7,2948
2499561,2,8,2977
2499561,2,9,3063
2499561,4,0,3003
2499561,4,1,3003
2499561,4,2,3036
2499561,4,3,2938
2499561,4,4,2957
2499561,4,5,2903
2499561,4,6,3046
2499561,4,7,2955
2499561,4,8,3041
2499561,4,9,2987
2499561,8,0,3571
2499561,8,1,3571
2499561,8,2,3705
2499561,8,3,3582
2499561,8,4,3657
2499561,8,5,3532
2499561,8,6,3664
2499561,8,7,3474
2499561,8,8,3564
2499561,8,9,3685
2499561,16,0,5178
2499561,16,1,5178
2499561,16,2,5141
2499561,16,3,5209
2499561,16,4,5133
2499561,16,5,5122
2499561,16,6,5136
2499561,16,7,5190
2499561,16,8,5193
2499561,16,9,5096
2499561,32,0,9165
2499561,32,1,9165
2499561,32,2,9286
2499561,32,3,9303
2499561,32,4,9388
2499561,32,5,9249
2499561,32,6,9388
2499561,32,7,9230
2499561,32,8,9245
2499561,32,9,9235
4999696,1,0,7582
4999696,1,1,7582
4999696,1,2,7506
4999696,1,3,7667
4999696,1,4,7569
4999696,1,5,7702
4999696,1,6,7621
4999696,1,7,7606
4999696,1,8,7587
4999696,1,9,7604
4999696,2,0,5787
4999696,2,1,5787
4999696,2,2,5660
4999696,2,3,5748
4999696,2,4,5787
4999696,2,5,5823
4999696,2,6,5714
4999696,2,7,5777
4999696,2,8,5747
4999696,2,9,5729
4999696,4,0,5624
4999696,4,1,5624
4999696,4,2,5703
4999696,4,3,5637
4999696,4,4,5620
4999696,4,5,5719
4999696,4,6,5600
4999696,4,7,5606
4999696,4,8,5560
4999696,4,9,5581
4999696,8,0,6290
4999696,8,1,6290
4999696,8,2,6460
4999696,8,3,6356
4999696,8,4,6389
4999696,8,5,6376
4999696,8,6,6367
4999696,8,7,6239
4999696,8,8,6305
4999696,8,9,6381
4999696,16,0,8419
4999696,16,1,8419
4999696,16,2,8489
4999696,16,3,8256
4999696,16,4,8445
4999696,16,5,8331
4999696,16,6,8427
4999696,16,7,8406
4999696,16,8,8488
4999696,16,9,8294
4999696,32,0,13616
4999696,32,1,13616
4999696,32,2,13471
4999696,32,3,13417
4999696,32,4,13404
4999696,32,5,13505
4999696,32,6,13342
4999696,32,7,13551
4999696,32,8,13493
4999696,32,9,13228
9998244,1,0,14965
9998244,1,1,14965
9998244,1,2,14932
9998244,1,3,15098
9998244,1,4,15013
9998244,1,5,14962
9998244,1,6,15048
9998244,1,7,14978
9998244,1,8,15095
9998244,1,9,15108
9998244,2,0,11249
9998244,2,1,11249
9998244,2,2,11143
9998244,2,3,11366
9998244,2,4,11249
9998244,2,5,11236
9998244,2,6,11279
9998244,2,7,11488
9998244,2,8,11269
9998244,2,9,11169
9998244,4,0,10763
9998244,4,1,10763
9998244,4,2,10768
9998244,4,3,10653
9998244,4,4,10884
9998244,4,5,10733
9998244,4,6,10733
9998244,4,7,10851
9998244,4,8,10659
9998244,4,9,10792
9998244,8,0,11525
9998244,8,1,11525
9998244,8,2,11764
9998244,8,3,11582
9998244,8,4,11733
9998244,8,5,11709
9998244,8,6,11697
9998244,8,7,11625
9998244,8,8,11498
9998244,8,9,11666
9998244,16,0,14308
9998244,16,1,14308
9998244,16,2,14265
9998244,16,3,14378
9998244,16,4,14388
9998244,16,5,14332
9998244,16,6,14379
9998244,16,7,14262
9998244,16,8,14251
9998244,16,9,14380
9998244,32,0,20646
9998244,32,1,20646
9998244,32,2,20703
9998244,32,3,20553
9998244,32,4,20713
9998244,32,5,20674
9998244,32,6,20834
9998244,32,7,20712
9998244,32,8,20449
9998244,32,9,20481
9998244,1,0,14965
9998244,1,1,14965
9998244,1,2,14932
9998244,1,3,15098
9998244,1,4,15013
9998244,1,5,14962
9998244,1,6,15048
9998244,1,7,14978
9998244,1,8,15095
9998244,1,9,15108
9998244,2,0,11249
9998244,2,1,11249
9998244,2,2,11143
9998244,2,3,11366
9998244,2,4,11249
9998244,2,5,11236
9998244,2,6,11279
9998244,2,7,11488
9998244,2,8,11269
9998244,2,9,11169
9998244,4,0,10763
9998244,4,1,10763
9998244,4,2,10768
9998244,4,3,10653
9998244,4,4,10884
9998244,4,5,10733
9998244,4,6,10733
9998244,4,7,10851
9998244,4,8,10659
9998244,4,9,10792
9998244,8,0,11525
9998244,8,1,11525
9998244,8,2,11764
9998244,8,3,11582
9998244,8,4,11733
9998244,8,5,11709
9998244,8,6,11697
9998244,8,7,11625
9998244,8,8,11498
9998244,8,9,11666
9998244,16,0,14308
9998244,16,1,14308
9998244,16,2,14265
9998244,16,3,14378
9998244,16,4,14388
9998244,16,5,14332
9998244,16,6,14379
9998244,16,7,14262
9998244,16,8,14251
9998244,16,9,14380
9998244,32,0,20646
9998244,32,1,20646
9998244,32,2,20703
9998244,32,3,20553
9998244,32,4,20713
9998244,32,5,20674
9998244,32,6,20834
9998244,32,7,20712
9998244,32,8,20449
9998244,32,9,20481
19998784,1,0,29964
19998784,1,1,29964
19998784,1,2,29698
19998784,1,3,29620
19998784,1,4,29678
19998784,1,5,29979
19998784,1,6,29699
19998784,1,7,29902
19998784,1,8,29787
19998784,1,9,29621
19998784,2,0,21938
19998784,2,1,21938
19998784,2,2,22268
19998784,2,3,22003
19998784,2,4,22046
19998784,2,5,22185
19998784,2,6,22036
19998784,2,7,22037
19998784,2,8,21964
19998784,2,9,22123
19998784,4,0,20893
19998784,4,1,20893
19998784,4,2,20798
19998784,4,3,20806
19998784,4,4,20807
19998784,4,5,20816
19998784,4,6,20883
19998784,4,7,20924
19998784,4,8,20721
19998784,4,9,20939
19998784,8,0,21785
19998784,8,1,21785
19998784,8,2,21903
19998784,8,3,21781
19998784,8,4,21759
19998784,8,5,21959
19998784,8,6,22007
19998784,8,7,21970
19998784,8,8,21843
19998784,8,9,21943
19998784,16,0,25135
19998784,16,1,25135
19998784,16,2,25471
19998784,16,3,25546
19998784,16,4,25153
19998784,16,5,25333
19998784,16,6,25336
19998784,16,7,25108
19998784,16,8,25395
19998784,16,9,25454
19998784,32,0,33461
19998784,32,1,33461
19998784,32,2,33562
19998784,32,3,33702
19998784,32,4,33420
19998784,32,5,33495
19998784,32,6,33825
19998784,32,7,33547
19998784,32,8,33642
19998784,32,9,33567
39992976,1,0,59086
39992976,1,1,59086
39992976,1,2,58996
39992976,1,3,58778
39992976,1,4,58583
39992976,1,5,58702
39992976,1,6,59024
39992976,1,7,58733
39992976,1,8,59011
39992976,1,9,58739
39992976,2,0,43489
39992976,2,1,43489
39992976,2,2,43440
39992976,2,3,43593
39992976,2,4,43702
39992976,2,5,43402
39992976,2,6,43776
39992976,2,7,43637
39992976,2,8,43702
39992976,2,9,43447
39992976,4,0,40189
39992976,4,1,40189
39992976,4,2,40434
39992976,4,3,40639
39992976,4,4,40778
39992976,4,5,40723
39992976,4,6,40604
39992976,4,7,40589
39992976,4,8,40356
39992976,4,9,40486
39992976,8,0,41511
39992976,8,1,41511
39992976,8,2,41906
39992976,8,3,41982
39992976,8,4,41661
39992976,8,5,41737
39992976,8,6,41834
39992976,8,7,41898
39992976,8,8,41267
39992976,8,9,41787
39992976,16,0,45990
39992976,16,1,45990
39992976,16,2,46258
39992976,16,3,46121
39992976,16,4,46233
39992976,16,5,46313
39992976,16,6,46584
39992976,16,7,46504
39992976,16,8,46224
39992976,16,9,46392
39992976,32,0,56806
39992976,32,1,56806
39992976,32,2,57358
39992976,32,3,56358
39992976,32,4,56800
39992976,32,5,56924
39992976,32,6,57281
39992976,32,7,57084
39992976,32,8,57142
39992976,32,9,57286
