file,size,sigma,seed,mean_dispersal,mean_distance_travelled,mean_distance_travelled_100,mean_distance_travelled_1000,mean_distance_travelled_10000,mean_distance_travelled_100000,stdev_dispersal,stdev_distance_travelled,stdev_distance_travelled_100,stdev_distance_travelled_1000
null,15,1,0,1.2518288508330684,4.164321228725659,13.729315160120054,42.81260125726076,120.522265872368,397.9076017847615,0.656686068088,2.16873896631,6.86992760035,22.3497466112
null,15,2,1,2.5036577016661368,8.057311920415854,26.809336399480035,81.57276523549643,238.38889280906824,757.7856127848571,1.31337213618,4.26130550619,13.5051650053,45.4061006015
null,15,4,2,5.007039456994512,15.894879068725507,47.23340305582869,160.43118856814445,477.39297984455646,1784.496083916559,2.63419193528,8.46568481522,25.5891702829,76.3436554968
null,15,8,3,9.987054204297541,31.9875817686992,102.31680121803161,309.3182892052152,907.6267369514867,3071.9059044506653,5.24020350823,16.9881315215,53.9048438316,138.691369462
null,15,16,4,20.01974366485372,63.0068392759801,208.69228310621176,653.5948008007557,1942.8913996621757,6311.663089046258,10.4807878794,32.1436339646,109.215983134,332.355150955
null,15,32,5,40.09544283855289,129.54133394646604,403.5465871920728,1288.2989504798236,4071.209614761712,13403.51469308162,20.9513764803,66.0742143303,208.469019199,603.293074875
null,22,1,6,1.2505635879274837,4.1105633870755875,12.914117651351626,42.659412916794956,124.01999436529327,401.1984358489582,0.653999265243,2.25483228663,6.70339953211,25.5715562607
null,22,2,7,2.5054906992857116,7.962664383877023,24.521134249809357,73.69203673681102,258.85439093712824,822.8755844373554,1.31175034125,4.30313559044,11.9959982954,40.0783447959
null,22,4,8,5.0545184926020506,16.245746253361922,52.40998409269468,162.7473586393443,502.806593510217,1725.1987829495401,2.61749012728,8.36795845301,28.5948171423,87.5147259375
null,22,8,9,10.094250408676606,33.14741778123796,102.72379865342572,318.72679845033247,953.3900762153373,3503.7353807482777,5.23786840204,17.1699066519,55.5978523885,168.864347775
null,22,16,10,20.091409760929995,62.76074132105585,202.5585445669926,624.9965936576071,2039.5276080305819,6616.3807208890785,10.5210193472,33.8132274241,103.306902107,308.662368805
null,22,32,11,39.94661933688165,122.66021320261812,392.20332742088146,1323.795883993642,3996.615987174553,12684.864982659145,21.1136626443,64.475655073,182.203457596,711.271978586
null,31,1,12,1.2535673781902972,3.9307360872996155,11.761231459519705,42.076035549330385,134.686336462112,432.91072414652365,0.653865109765,2.07396089934,6.63049278377,24.3237997125
null,31,2,13,2.490355521973566,7.919511967567059,24.730589733850362,81.15301131215466,240.6817098440075,784.2880569480272,1.30757677507,4.12059828126,13.0260481888,37.8535170753
null,31,4,14,5.023558260058593,15.724070399136004,47.3625054763357,165.06106447603165,541.8440278448217,1540.5257191017365,2.61134872286,7.94723914847,23.7392728407,85.1432615892
null,31,8,15,10.08307954341186,32.284920560512205,106.20060456309189,315.8467964707804,1096.2197783618076,3164.243032563658,5.21974720363,17.2993613871,52.1749134205,176.927106909
null,31,16,16,19.976696553221693,61.645464031223156,195.97164640665093,679.3148128747328,2016.7327124182036,6810.240133125745,10.4477083508,31.7078659701,105.656584294,400.104892508
null,31,32,17,39.9764832107486,125.96313938405414,367.9819203558667,1232.8328585212867,3889.636389358003,13620.252078587766,20.9939155023,64.3114415677,197.797488081,707.25073556
null,158,1,18,1.2562733424526666,4.140640556092074,12.428317153718199,38.67087753884989,125.75486204023967,442.05283067100936,0.651857831528,2.14151716903,6.79241729626,22.9098937225
null,158,2,19,2.5052544655416065,8.05349867072751,24.370447370277553,84.03244004513414,261.6915460465205,773.405252533131,1.30544206377,4.18116720075,12.5901268847,39.1120060859
null,158,4,20,5.000182542188092,16.042884011003817,48.19158121889343,164.44001045952805,499.59664927357153,1627.5938625706603,2.64436746095,8.16644797997,23.8883130343,86.0733580155
null,158,8,21,10.06959588194677,32.068562148622796,101.3949995457124,317.9362679263651,1043.675511344966,3056.665714109044,5.24519516025,16.7714138259,48.8996325868,172.422444992
null,158,16,22,20.086770336160374,61.86762366024053,187.1018532658244,681.0413310597746,2013.5638256275308,6210.774930999157,10.5248952694,31.8561947294,107.32369964,354.512701307
null,158,32,23,39.9163083851486,124.31619821131535,440.5573794775997,1249.3212395231265,4038.5864495850146,12580.388217244408,20.7887948526,65.6727939278,231.160345621,656.892624769
null,223,1,24,1.2533920741449698,4.198220560631372,11.60772158057904,39.7671536946295,125.76500643418628,391.501836787056,0.662527817207,2.18745151359,6.13846884066,20.1720967435
null,223,2,25,2.491725318572977,7.902965245726532,26.86390027599329,82.85121328194774,256.438576592982,799.1029195928256,1.29922627722,4.17062828898,13.0050321784,43.6770701594
null,223,4,26,4.987102518836907,15.741206308418821,51.809531589784655,161.8047326003656,471.1174834070335,1544.3765373927613,2.58688100887,7.85858918355,25.360647398,78.3954622929
null,223,8,27,9.993643054068142,32.48017434615483,99.63688898661671,316.4422760492518,939.1813689552769,3250.7474334864137,5.2148222632,16.6452778422,50.6553092288,167.466372531
null,223,16,28,19.97124190780628,63.16381773890122,202.19824087761845,567.2092590205646,2011.0159785542771,6075.124281547822,10.4382873791,33.3179100282,99.4787484139,304.930166565
null,223,32,29,40.220502574343456,127.58770522146895,397.13996489243675,1211.643695635246,3624.8756526896154,12094.299179383293,20.8845632715,67.4550774688,196.710061474,654.902255934
null,316,1,30,1.2551836625465556,4.205784445350141,12.757852794721424,41.630978748286815,133.19223258179412,399.93352835737625,0.657600296908,2.16549698666,6.7325472199,22.3678700027
null,316,2,31,2.501676914639267,7.922001835942643,25.852636165162604,79.55064457344565,260.42589829931694,772.6176135162013,1.30604064226,4.0806723602,13.1206403545,40.6810145885
null,316,4,32,5.017264097993871,15.960316041428454,50.04850147472662,181.43475881324207,497.79128437400703,1726.7644949357648,2.656771482,8.32972459675,26.2409508237,86.775505152
null,316,8,33,10.060930229664516,31.791327214079313,97.66819883940538,327.3006192571398,1059.4691530952855,3557.946480946954,5.26372129697,16.4025459599,55.4083291164,169.930264032
null,316,16,34,20.123802645490642,63.15592718972427,192.6497461193513,570.0246853646702,1835.545824044595,6002.564955360735,10.482030627,32.873467429,91.3179901232,300.666822371
null,316,32,35,39.89005666852147,129.75386131404474,406.304030821532,1194.7826379058479,3876.53210016222,13166.24958635957,20.6530371686,68.0554000363,210.010343884,617.22112582
null,1581,1,36,1.2464599907377092,4.2168685748232475,12.693682151924307,43.442091244361656,122.94398123777624,399.7012248057859,0.656553825654,2.24566681025,6.93184199372,25.6080984908
null,1581,2,37,2.4938867394954918,7.934524928787854,25.052906476931316,79.64111132987863,253.8813572673513,794.9468963395818,1.30768883581,4.08880351135,12.8207596131,46.6354305881
null,1581,4,38,5.011556143223095,15.975609942069651,52.678236484840596,167.87795789037824,511.12459696773,1455.195819502993,2.6371172817,8.30788101617,27.7188275518,83.1406113434
null,1581,8,39,9.973540099169501,31.112640337602787,98.21629726264585,311.40630607095244,922.2629953055125,2903.992063335152,5.20576720129,16.9507997222,55.2683358897,191.12637845
null,1581,16,40,20.072110561379326,63.98128079489146,193.3521137960753,649.1172536972391,1937.9167424967297,6162.205365096403,10.5136826286,33.6137130922,100.478555377,325.376644756
null,1581,32,41,39.8991747749375,126.93887620217231,377.798729611649,1264.1978589524533,4022.018400161386,11550.931519294127,20.8072327287,65.1375138344,206.03863692,656.854910479
null,2236,1,42,1.2677101480668227,4.047660301498859,12.88637649521577,43.12913781309034,138.55140945164914,394.4963602092208,0.654505364028,2.14393238785,7.07469439789,22.4006131947
null,2236,2,43,2.5257056849965696,8.129829018086449,24.161896698588613,77.98119361620127,241.91566966633508,853.3042642852838,1.30679382206,4.13374892037,12.8262522947,46.2697897358
null,2236,4,44,5.0018046544216235,16.07419814617476,49.19035341008498,147.90928392803323,534.7828688526771,1591.7505136892653,2.59530605413,8.18389601336,25.7505171092,76.9435749618
null,2236,8,45,10.089850315922176,31.43626182342143,99.33577138691666,335.6826220547443,986.0583102727111,3339.9434459907307,5.27820510803,16.6360284494,49.9748388989,177.186617018
null,2236,16,46,20.01187225045705,61.68041402268241,205.53183116426294,610.6930105140217,1937.9638686160956,6472.53390320261,10.4542129049,32.7928121086,105.311852981,303.87001647
null,2236,32,47,40.26575937972886,128.46195518697976,379.7670330436805,1286.103606281776,3959.0755337840424,12306.639737745265,20.9788847304,67.9846752551,204.22624859,644.737120002
null,3162,1,48,1.2555407718445715,4.097594303455792,14.02802743842689,44.682086680822806,132.50733229183902,385.9560345037737,0.661376126218,2.10564026469,7.20655577837,23.4725612119
null,3162,2,49,2.5103444381300677,7.89459795899096,26.848578817190813,81.59793272552947,274.75459107776214,829.5298125797842,1.31783163385,4.0940594849,14.0628523244,42.0612336353
null,3162,4,50,4.9646831077099405,15.582297722174943,48.90334104573026,154.54707709851516,452.09962477525715,1440.0987337367123,2.62728104122,7.83224091161,26.2953082234,76.330930561
null,3162,8,51,9.982247559730027,30.877396363354073,107.7342089322361,328.00270292756016,1035.76471997036,3118.8338043318013,5.24948418546,16.226379566,50.2241996028,177.242452229
null,3162,16,52,19.819103295074648,63.64103531595998,205.69965423009543,715.9597426178439,2030.4477611209682,6056.604241292839,10.3602647272,32.4576127266,106.779924375,395.810695852
null,3162,32,53,40.33390754953626,122.41982409274611,378.7070345286378,1230.91594260928,3792.9123840997268,12912.319114061456,20.8591775837,63.0185740009,176.527737193,603.080170649
null,3162,1,54,1.2575368024511357,4.242715032719919,13.264222497299123,39.97395919329781,131.44381109844846,445.01417522451777,0.65727087135,2.23301794689,6.36320685992,20.0911071475
null,3162,2,55,2.513216279038069,7.964095563824578,25.642537466121876,83.74023606736156,256.44347448872395,775.281154159652,1.32969767497,4.20133096176,13.8416137895,50.2706958713
null,3162,4,56,5.060669665917664,16.116309469022884,50.143594841747806,150.348447613251,507.1042044043401,1417.9763430704024,2.6280612191,8.38382783093,24.3561059356,71.7831059532
null,3162,8,57,10.035503287635915,32.15807888483046,96.23053444769104,312.95858038016445,1012.3647089745408,3278.241696482421,5.26597898139,16.8841334524,53.7231257459,166.623278585
null,3162,16,58,20.039062212515304,63.558892130475115,196.65063134290142,584.1486386866311,1875.0765269877384,6093.5057475469575,10.4593581998,33.0393739521,95.3230779635,325.652772014
null,3162,32,59,40.130341722944905,125.66744825172157,410.0415834433759,1155.5338231954688,3689.842992127075,12195.77837731513,20.8522229246,64.9714048632,220.844990541,637.342697025
null,4472,1,60,1.2507531454181882,4.2543102933073165,12.90941698688672,41.096416894204324,130.02824960063296,405.3442476883237,0.65138164172,2.20926320937,6.35349927667,21.7629161295
null,4472,2,61,2.4967492055516978,7.957697452026714,23.63124836268747,89.43736897561476,239.78064956317013,810.3379407880409,1.3110320982,4.0972004176,11.8698820896,43.4998509276
null,4472,4,62,5.063235973152863,16.129399032627518,50.4047315238552,152.39883785731269,453.7808629316544,1724.082094003858,2.6594334366,8.20332169589,26.7170926564,77.2138214295
null,4472,8,63,10.034539464068425,31.58382182295576,102.4199003680426,310.86133469353064,1057.4628767161998,3353.633118071951,5.25395713042,16.4125013041,52.2885647977,155.497172298
null,4472,16,64,20.156757234949197,63.8759058176174,202.25277316016684,674.1288546896727,1993.187343422917,6639.1307354511555,10.476946309,33.2551147341,110.032157795,353.560203183
null,4472,32,65,39.87830312677779,125.15759430679549,374.20182317934575,1178.537035297273,3549.271672256297,11795.080039468829,21.0800064673,67.9405812997,196.775419017,634.746962523
null,6324,1,66,1.2615192969761837,4.136161149402594,14.002229834392228,40.48836463097477,138.03998494232764,388.19635848873986,0.656308890298,2.10906873908,6.44418805319,19.1969354197
null,6324,2,67,2.511604024810175,8.030864442180892,23.776167346183456,80.62291153798812,243.64841782154653,835.8949062075283,1.29169764055,4.16991802213,12.6072941715,39.8110052013
null,6324,4,68,4.990795795150977,16.486018531721598,50.62460863728525,153.85340129916875,498.0042174001087,1515.9493364882976,2.59830612007,8.68655242152,31.0909794043,81.4754620035
null,6324,8,69,10.07998754028505,31.541545551654877,106.61699022660851,318.1723301618971,981.416916177955,3148.9374626886606,5.25163535992,17.1981366494,61.3989201454,166.669728263
null,6324,16,70,20.033184950719118,60.937726117239606,193.14686386278606,584.4780022625929,2095.0499506723604,6858.6656367637825,10.4550374501,32.2842149612,100.747798884,320.180753436
null,6324,32,71,39.975997287205274,127.03490720467346,391.0257333212058,1238.003988549277,4186.512583996559,12969.998739593595,20.7417633782,64.9991488521,187.593272482,691.693128733
